rank,person_seconds,cell_row,cell_col,x,y
1,5.850004196166992,45,18,1.625,11.375
2,2.9999983310699463,45,20,2.125,11.375
3,2.1499991416931152,43,27,3.875,10.875
4,1.699999451637268,47,19,1.875,11.875
5,1.5499995946884155,51,18,1.625,12.875
6,1.5499995946884155,50,19,1.875,12.625
7,1.4999996423721313,53,14,0.625,13.375
8,1.4499996900558472,45,25,3.375,11.375
9,1.4499996900558472,49,19,1.875,12.375
10,1.4499996900558472,48,19,1.875,12.125
11,1.3499997854232788,46,19,1.875,11.625
12,1.2499998807907104,53,15,0.875,13.375
13,1.2499998807907104,45,19,1.875,11.375
14,1.100000023841858,52,17,1.375,13.125
15,1.100000023841858,52,16,1.125,13.125
16,1.100000023841858,52,5,-1.625,13.125
17,1.0500000715255737,54,13,0.375,13.625
18,0.9500001668930054,57,10,-0.375,14.375
19,0.9500001668930054,56,11,-0.125,14.125
20,0.9000001549720764,58,9,-0.625,14.625
21,0.9000001549720764,55,12,0.125,13.875
22,0.9000001549720764,45,24,3.125,11.375
23,0.8000001311302185,59,7,-1.125,14.875
24,0.8000001311302185,53,10,-0.375,13.375
25,0.7500001192092896,57,9,-0.625,14.375
